<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
ГАЗПРОМ ао;D;11/01/10;000000;194.5;59815603
ГАЗПРОМ ао;D;12/01/10;000000;191.8;43482579
ГАЗПРОМ ао;D;13/01/10;000000;189.3;52416087
ГАЗПРОМ ао;D;14/01/10;000000;190.83;41207109
ГАЗПРОМ ао;D;15/01/10;000000;187.86;55571965
ГАЗПРОМ ао;D;18/01/10;000000;190.4;36525951
ГАЗПРОМ ао;D;19/01/10;000000;189.76;48626727
ГАЗПРОМ ао;D;20/01/10;000000;185.98;46894531
ГАЗПРОМ ао;D;21/01/10;000000;182.76;62823179
ГАЗПРОМ ао;D;22/01/10;000000;181.5;62923848
ГАЗПРОМ ао;D;25/01/10;000000;182.85;48727361
ГАЗПРОМ ао;D;26/01/10;000000;181.29;59199220
ГАЗПРОМ ао;D;27/01/10;000000;182.01;66522143
ГАЗПРОМ ао;D;28/01/10;000000;182.3;62561241
ГАЗПРОМ ао;D;29/01/10;000000;186.44;58506711
ГАЗПРОМ ао;D;01/02/10;000000;189.85;76298175
ГАЗПРОМ ао;D;02/02/10;000000;192.21;66952516
ГАЗПРОМ ао;D;03/02/10;000000;192.7;74730185
ГАЗПРОМ ао;D;04/02/10;000000;186.59;72663606
ГАЗПРОМ ао;D;05/02/10;000000;182.31;103353338
ГАЗПРОМ ао;D;08/02/10;000000;175.31;90316502
ГАЗПРОМ ао;D;09/02/10;000000;174.91;85529413
ГАЗПРОМ ао;D;10/02/10;000000;171.48;82553131
ГАЗПРОМ ао;D;11/02/10;000000;168.4;77463820
ГАЗПРОМ ао;D;12/02/10;000000;163.04;112397496
ГАЗПРОМ ао;D;15/02/10;000000;164.45;40268788
ГАЗПРОМ ао;D;16/02/10;000000;172.18;81746193
ГАЗПРОМ ао;D;17/02/10;000000;171.35;72613205
ГАЗПРОМ ао;D;18/02/10;000000;168.4;74979727
ГАЗПРОМ ао;D;19/02/10;000000;171.83;65359242
ГАЗПРОМ ао;D;24/02/10;000000;171;50082249
ГАЗПРОМ ао;D;25/02/10;000000;165.48;58782335
ГАЗПРОМ ао;D;26/02/10;000000;166.72;57432240
ГАЗПРОМ ао;D;27/02/10;000000;167.61;12726572
ГАЗПРОМ ао;D;01/03/10;000000;168.2;58570262
ГАЗПРОМ ао;D;02/03/10;000000;169.51;50326444
ГАЗПРОМ ао;D;03/03/10;000000;170.1;50240411
ГАЗПРОМ ао;D;04/03/10;000000;172.27;72353619
ГАЗПРОМ ао;D;05/03/10;000000;176.8;90476379
ГАЗПРОМ ао;D;09/03/10;000000;175.47;59047564
ГАЗПРОМ ао;D;10/03/10;000000;173.77;64149524
ГАЗПРОМ ао;D;11/03/10;000000;170.62;49327118
ГАЗПРОМ ао;D;12/03/10;000000;172.71;58710157
ГАЗПРОМ ао;D;15/03/10;000000;169.27;45547443
ГАЗПРОМ ао;D;16/03/10;000000;171.35;40997519
ГАЗПРОМ ао;D;17/03/10;000000;171.94;58477505
ГАЗПРОМ ао;D;18/03/10;000000;170.6;46492082
ГАЗПРОМ ао;D;19/03/10;000000;167.06;61059092
ГАЗПРОМ ао;D;22/03/10;000000;169.29;68318812
ГАЗПРОМ ао;D;23/03/10;000000;167.6;58274915
ГАЗПРОМ ао;D;24/03/10;000000;164.85;54136062
ГАЗПРОМ ао;D;25/03/10;000000;162.3;95068621
ГАЗПРОМ ао;D;26/03/10;000000;161.1;79370939
ГАЗПРОМ ао;D;29/03/10;000000;164.55;58051704
ГАЗПРОМ ао;D;30/03/10;000000;170.44;106120982
ГАЗПРОМ ао;D;31/03/10;000000;171.5;96487797
ГАЗПРОМ ао;D;01/04/10;000000;175;94994135
ГАЗПРОМ ао;D;02/04/10;000000;175.34;46648290
ГАЗПРОМ ао;D;05/04/10;000000;175.88;29219917
ГАЗПРОМ ао;D;06/04/10;000000;177.1;107113174
ГАЗПРОМ ао;D;07/04/10;000000;174.99;59502271
ГАЗПРОМ ао;D;08/04/10;000000;174.54;67416158
ГАЗПРОМ ао;D;09/04/10;000000;175.15;55920433
ГАЗПРОМ ао;D;12/04/10;000000;175.93;50134741
ГАЗПРОМ ао;D;13/04/10;000000;174.3;42633375
ГАЗПРОМ ао;D;14/04/10;000000;181.4;103566313
ГАЗПРОМ ао;D;15/04/10;000000;185.16;123343407
ГАЗПРОМ ао;D;16/04/10;000000;179.99;70894208
ГАЗПРОМ ао;D;19/04/10;000000;174.51;84755440
ГАЗПРОМ ао;D;20/04/10;000000;175.15;63889363
ГАЗПРОМ ао;D;21/04/10;000000;173.09;68983129
ГАЗПРОМ ао;D;22/04/10;000000;170.7;73419546
ГАЗПРОМ ао;D;23/04/10;000000;175;64054953
ГАЗПРОМ ао;D;26/04/10;000000;177.99;58807897
ГАЗПРОМ ао;D;27/04/10;000000;175.6;50005443
ГАЗПРОМ ао;D;28/04/10;000000;170.56;84170214
ГАЗПРОМ ао;D;29/04/10;000000;174.5;71927402
ГАЗПРОМ ао;D;30/04/10;000000;170;55828637
ГАЗПРОМ ао;D;04/05/10;000000;164.23;59219032
ГАЗПРОМ ао;D;05/05/10;000000;164.2;68655755
ГАЗПРОМ ао;D;06/05/10;000000;163.79;64138545
ГАЗПРОМ ао;D;07/05/10;000000;155;85507106
ГАЗПРОМ ао;D;11/05/10;000000;160.09;59956999
ГАЗПРОМ ао;D;12/05/10;000000;166.07;70496414
ГАЗПРОМ ао;D;13/05/10;000000;162.9;64803594
ГАЗПРОМ ао;D;14/05/10;000000;159.86;50631403
ГАЗПРОМ ао;D;17/05/10;000000;161.38;66883264
ГАЗПРОМ ао;D;18/05/10;000000;163.28;56176707
ГАЗПРОМ ао;D;19/05/10;000000;157.81;65112451
ГАЗПРОМ ао;D;20/05/10;000000;151.05;79965181
ГАЗПРОМ ао;D;21/05/10;000000;150;95842724
ГАЗПРОМ ао;D;24/05/10;000000;151;58711526
ГАЗПРОМ ао;D;25/05/10;000000;143;70404096
ГАЗПРОМ ао;D;26/05/10;000000;158.44;118246376
ГАЗПРОМ ао;D;27/05/10;000000;158.46;98157910
ГАЗПРОМ ао;D;28/05/10;000000;157.88;72743948
ГАЗПРОМ ао;D;31/05/10;000000;159.84;32988224
ГАЗПРОМ ао;D;01/06/10;000000;159.26;67031024
ГАЗПРОМ ао;D;02/06/10;000000;163.8;87361375
ГАЗПРОМ ао;D;03/06/10;000000;164.98;74547307
ГАЗПРОМ ао;D;04/06/10;000000;163;82931967
ГАЗПРОМ ао;D;07/06/10;000000;160.59;61039665
ГАЗПРОМ ао;D;08/06/10;000000;157.37;73012371
ГАЗПРОМ ао;D;09/06/10;000000;158.2;53158544
ГАЗПРОМ ао;D;10/06/10;000000;157.79;64541699
ГАЗПРОМ ао;D;11/06/10;000000;156.44;41865374
ГАЗПРОМ ао;D;15/06/10;000000;159.71;44428383
ГАЗПРОМ ао;D;16/06/10;000000;158.8;48009243
ГАЗПРОМ ао;D;17/06/10;000000;156.6;58686142
ГАЗПРОМ ао;D;18/06/10;000000;159.4;50063406
ГАЗПРОМ ао;D;21/06/10;000000;162.88;48205334
ГАЗПРОМ ао;D;22/06/10;000000;159.44;42120259
ГАЗПРОМ ао;D;23/06/10;000000;158.11;33110304
ГАЗПРОМ ао;D;24/06/10;000000;154.7;45660747
ГАЗПРОМ ао;D;25/06/10;000000;152;44342240
ГАЗПРОМ ао;D;28/06/10;000000;154;34392125
ГАЗПРОМ ао;D;29/06/10;000000;149.85;41768801
ГАЗПРОМ ао;D;30/06/10;000000;149.1;43595281
ГАЗПРОМ ао;D;01/07/10;000000;143.2;50067990
ГАЗПРОМ ао;D;02/07/10;000000;148.25;41766629
ГАЗПРОМ ао;D;05/07/10;000000;148.05;22990057
ГАЗПРОМ ао;D;06/07/10;000000;152.38;35984818
ГАЗПРОМ ао;D;07/07/10;000000;153.47;43992477
ГАЗПРОМ ао;D;08/07/10;000000;151.97;42195218
ГАЗПРОМ ао;D;09/07/10;000000;154.2;32120720
ГАЗПРОМ ао;D;12/07/10;000000;156.13;41421955
ГАЗПРОМ ао;D;13/07/10;000000;159.03;55471055
ГАЗПРОМ ао;D;14/07/10;000000;158.12;38454449
ГАЗПРОМ ао;D;15/07/10;000000;157.1;50889369
ГАЗПРОМ ао;D;16/07/10;000000;155.19;40608591
ГАЗПРОМ ао;D;19/07/10;000000;156.69;33735277
ГАЗПРОМ ао;D;20/07/10;000000;155.47;35697278
ГАЗПРОМ ао;D;21/07/10;000000;158.25;47594136
ГАЗПРОМ ао;D;22/07/10;000000;162.3;49538717
ГАЗПРОМ ао;D;23/07/10;000000;160.9;37735647
ГАЗПРОМ ао;D;26/07/10;000000;162.13;28865188
ГАЗПРОМ ао;D;27/07/10;000000;164.3;52775501
ГАЗПРОМ ао;D;28/07/10;000000;161.79;38811716
ГАЗПРОМ ао;D;29/07/10;000000;165.5;47331540
ГАЗПРОМ ао;D;30/07/10;000000;162.85;48459096
ГАЗПРОМ ао;D;02/08/10;000000;168.99;53492817
ГАЗПРОМ ао;D;03/08/10;000000;165.92;45720519
ГАЗПРОМ ао;D;04/08/10;000000;167.04;60222691
ГАЗПРОМ ао;D;05/08/10;000000;166.95;53614527
ГАЗПРОМ ао;D;06/08/10;000000;166.88;43954706
ГАЗПРОМ ао;D;09/08/10;000000;169.61;51487495
ГАЗПРОМ ао;D;10/08/10;000000;166.53;49754611
ГАЗПРОМ ао;D;11/08/10;000000;162.3;42883823
ГАЗПРОМ ао;D;12/08/10;000000;162.43;42807237
ГАЗПРОМ ао;D;13/08/10;000000;161.26;35498222
ГАЗПРОМ ао;D;16/08/10;000000;163.18;38343339
ГАЗПРОМ ао;D;17/08/10;000000;164.2;35912889
ГАЗПРОМ ао;D;18/08/10;000000;162.4;27477119
ГАЗПРОМ ао;D;19/08/10;000000;160.1;43493735
ГАЗПРОМ ао;D;20/08/10;000000;158.73;42206460
ГАЗПРОМ ао;D;23/08/10;000000;159.11;32875912
ГАЗПРОМ ао;D;24/08/10;000000;156.6;34851851
ГАЗПРОМ ао;D;25/08/10;000000;155.61;36818096
ГАЗПРОМ ао;D;26/08/10;000000;158.7;40873457
ГАЗПРОМ ао;D;27/08/10;000000;158.56;36613182
ГАЗПРОМ ао;D;30/08/10;000000;159;31782631
ГАЗПРОМ ао;D;31/08/10;000000;159.15;37329926
ГАЗПРОМ ао;D;01/09/10;000000;161.79;48788206
ГАЗПРОМ ао;D;02/09/10;000000;162.8;42721026
ГАЗПРОМ ао;D;03/09/10;000000;163;49408735
ГАЗПРОМ ао;D;06/09/10;000000;162.95;29531924
ГАЗПРОМ ао;D;07/09/10;000000;161.54;27633203
ГАЗПРОМ ао;D;08/09/10;000000;164.14;42933984
ГАЗПРОМ ао;D;09/09/10;000000;165.53;54607234
ГАЗПРОМ ао;D;10/09/10;000000;164.4;33920721
ГАЗПРОМ ао;D;13/09/10;000000;165;40008513
ГАЗПРОМ ао;D;14/09/10;000000;163;47444235
ГАЗПРОМ ао;D;15/09/10;000000;163.87;43958719
ГАЗПРОМ ао;D;16/09/10;000000;163.17;29641758
ГАЗПРОМ ао;D;17/09/10;000000;162.18;38023571
ГАЗПРОМ ао;D;20/09/10;000000;163.15;27202867
ГАЗПРОМ ао;D;21/09/10;000000;163.14;34204092
ГАЗПРОМ ао;D;22/09/10;000000;160.8;41678911
ГАЗПРОМ ао;D;23/09/10;000000;159.22;43740575
ГАЗПРОМ ао;D;24/09/10;000000;157.97;48585325
ГАЗПРОМ ао;D;27/09/10;000000;157.5;45134144
ГАЗПРОМ ао;D;28/09/10;000000;156.8;41674389
ГАЗПРОМ ао;D;29/09/10;000000;157.85;42559499
ГАЗПРОМ ао;D;30/09/10;000000;160;54741352
ГАЗПРОМ ао;D;01/10/10;000000;160.54;61044287
ГАЗПРОМ ао;D;04/10/10;000000;161.99;62158306
ГАЗПРОМ ао;D;05/10/10;000000;162.44;61594539
ГАЗПРОМ ао;D;06/10/10;000000;163;68059365
ГАЗПРОМ ао;D;07/10/10;000000;162.49;43543073
ГАЗПРОМ ао;D;08/10/10;000000;163.35;43262022
ГАЗПРОМ ао;D;11/10/10;000000;165;35326349
ГАЗПРОМ ао;D;12/10/10;000000;163;44395464
ГАЗПРОМ ао;D;13/10/10;000000;164.74;57329903
ГАЗПРОМ ао;D;14/10/10;000000;162.3;56495067
ГАЗПРОМ ао;D;15/10/10;000000;161;44134875
ГАЗПРОМ ао;D;18/10/10;000000;163.4;51395349
ГАЗПРОМ ао;D;19/10/10;000000;162.27;57156349
ГАЗПРОМ ао;D;20/10/10;000000;161.9;39972973
ГАЗПРОМ ао;D;21/10/10;000000;165.8;76114750
ГАЗПРОМ ао;D;22/10/10;000000;168.49;80851117
ГАЗПРОМ ао;D;25/10/10;000000;169.62;76650490
ГАЗПРОМ ао;D;26/10/10;000000;168.45;50475075
ГАЗПРОМ ао;D;27/10/10;000000;167.02;42887867
ГАЗПРОМ ао;D;28/10/10;000000;167.17;46185945
ГАЗПРОМ ао;D;29/10/10;000000;168.89;50953169
ГАЗПРОМ ао;D;01/11/10;000000;169.89;46127294
ГАЗПРОМ ао;D;02/11/10;000000;170.16;28594305
ГАЗПРОМ ао;D;03/11/10;000000;170.19;33902140
ГАЗПРОМ ао;D;08/11/10;000000;174.2;63317701
ГАЗПРОМ ао;D;09/11/10;000000;176.1;70943011
ГАЗПРОМ ао;D;10/11/10;000000;174.47;55021337
ГАЗПРОМ ао;D;11/11/10;000000;172.6;42944312
ГАЗПРОМ ао;D;12/11/10;000000;171.88;46449925
ГАЗПРОМ ао;D;13/11/10;000000;171.69;13342176
ГАЗПРОМ ао;D;15/11/10;000000;171.79;35097646
ГАЗПРОМ ао;D;16/11/10;000000;169.57;37346911
ГАЗПРОМ ао;D;17/11/10;000000;168.81;40398825
ГАЗПРОМ ао;D;18/11/10;000000;170.7;33987151
ГАЗПРОМ ао;D;19/11/10;000000;172.2;43829563
ГАЗПРОМ ао;D;22/11/10;000000;169.71;56358833
ГАЗПРОМ ао;D;23/11/10;000000;167.7;47926689
ГАЗПРОМ ао;D;24/11/10;000000;170.32;65368371
ГАЗПРОМ ао;D;25/11/10;000000;172.6;62122084
ГАЗПРОМ ао;D;26/11/10;000000;174.49;76552003
ГАЗПРОМ ао;D;29/11/10;000000;173.03;55450179
ГАЗПРОМ ао;D;30/11/10;000000;174.2;46119273
ГАЗПРОМ ао;D;01/12/10;000000;182.49;148208131
ГАЗПРОМ ао;D;02/12/10;000000;189.2;170407946
ГАЗПРОМ ао;D;03/12/10;000000;190.7;159522191
ГАЗПРОМ ао;D;06/12/10;000000;194.3;94507518
ГАЗПРОМ ао;D;07/12/10;000000;192.95;102943713
ГАЗПРОМ ао;D;08/12/10;000000;190.9;72388889
ГАЗПРОМ ао;D;09/12/10;000000;192.83;55714428
ГАЗПРОМ ао;D;10/12/10;000000;192.87;49324903
ГАЗПРОМ ао;D;13/12/10;000000;195.8;63438040
ГАЗПРОМ ао;D;14/12/10;000000;197.2;62775043
ГАЗПРОМ ао;D;15/12/10;000000;195.56;74694399
ГАЗПРОМ ао;D;16/12/10;000000;193.43;51054192
ГАЗПРОМ ао;D;17/12/10;000000;194.11;61474397
ГАЗПРОМ ао;D;20/12/10;000000;194.03;32309209
ГАЗПРОМ ао;D;21/12/10;000000;195.52;29047486
ГАЗПРОМ ао;D;22/12/10;000000;197;42228132
ГАЗПРОМ ао;D;23/12/10;000000;196.01;32056422
ГАЗПРОМ ао;D;24/12/10;000000;195.32;16882185
ГАЗПРОМ ао;D;27/12/10;000000;194.9;17077814
ГАЗПРОМ ао;D;28/12/10;000000;194.41;17424481
ГАЗПРОМ ао;D;29/12/10;000000;192.5;24177592
ГАЗПРОМ ао;D;30/12/10;000000;193.5;20585807
ГАЗПРОМ ао;D;11/01/11;000000;194.15;32744066
ГАЗПРОМ ао;D;12/01/11;000000;200.64;69782645
ГАЗПРОМ ао;D;13/01/11;000000;197.4;74294514
ГАЗПРОМ ао;D;14/01/11;000000;195.92;67356850
ГАЗПРОМ ао;D;17/01/11;000000;198.7;52592707
ГАЗПРОМ ао;D;18/01/11;000000;198.8;78943784
ГАЗПРОМ ао;D;19/01/11;000000;198.12;57843735
ГАЗПРОМ ао;D;20/01/11;000000;194.2;65862488
ГАЗПРОМ ао;D;21/01/11;000000;192.71;74682795
ГАЗПРОМ ао;D;24/01/11;000000;189.05;70611653
ГАЗПРОМ ао;D;25/01/11;000000;190;57875032
ГАЗПРОМ ао;D;26/01/11;000000;197.14;89976654
ГАЗПРОМ ао;D;27/01/11;000000;201.3;126923646
ГАЗПРОМ ао;D;28/01/11;000000;199.7;77733192
ГАЗПРОМ ао;D;31/01/11;000000;196.98;50996698
ГАЗПРОМ ао;D;01/02/11;000000;204.91;87981195
ГАЗПРОМ ао;D;02/02/11;000000;209.51;141000490
ГАЗПРОМ ао;D;03/02/11;000000;207.03;90138916
ГАЗПРОМ ао;D;04/02/11;000000;213.3;112660796
ГАЗПРОМ ао;D;07/02/11;000000;213.6;67627892
ГАЗПРОМ ао;D;08/02/11;000000;210.4;116234066
ГАЗПРОМ ао;D;09/02/11;000000;215.15;86691286
ГАЗПРОМ ао;D;10/02/11;000000;208.22;87428526
ГАЗПРОМ ао;D;11/02/11;000000;208.5;80565740
ГАЗПРОМ ао;D;14/02/11;000000;203.51;72029981
ГАЗПРОМ ао;D;15/02/11;000000;199.5;84154046
ГАЗПРОМ ао;D;16/02/11;000000;199.4;104611444
ГАЗПРОМ ао;D;17/02/11;000000;195.45;69125103
ГАЗПРОМ ао;D;18/02/11;000000;195.5;67950711
ГАЗПРОМ ао;D;21/02/11;000000;198.92;54765044
ГАЗПРОМ ао;D;22/02/11;000000;197.8;56502029
ГАЗПРОМ ао;D;24/02/11;000000;208.05;147528462
ГАЗПРОМ ао;D;25/02/11;000000;209.3;92143808
ГАЗПРОМ ао;D;28/02/11;000000;210.71;67936202
ГАЗПРОМ ао;D;01/03/11;000000;209.48;99638410
ГАЗПРОМ ао;D;02/03/11;000000;212;65771720
ГАЗПРОМ ао;D;03/03/11;000000;213.54;84712820
ГАЗПРОМ ао;D;04/03/11;000000;212.9;49150070
ГАЗПРОМ ао;D;05/03/11;000000;214.12;17920380
ГАЗПРОМ ао;D;09/03/11;000000;214.77;56954130
ГАЗПРОМ ао;D;10/03/11;000000;207.95;66854730
ГАЗПРОМ ао;D;11/03/11;000000;209.1;77403240
ГАЗПРОМ ао;D;14/03/11;000000;216.25;134360780
ГАЗПРОМ ао;D;15/03/11;000000;217.5;159227600
ГАЗПРОМ ао;D;16/03/11;000000;221.81;165995550
ГАЗПРОМ ао;D;17/03/11;000000;224.91;109982610
ГАЗПРОМ ао;D;18/03/11;000000;224.1;76678330
ГАЗПРОМ ао;D;21/03/11;000000;222.36;54748030
ГАЗПРОМ ао;D;22/03/11;000000;220.32;53528710
ГАЗПРОМ ао;D;23/03/11;000000;223.5;61435640
ГАЗПРОМ ао;D;24/03/11;000000;224.3;84815300
ГАЗПРОМ ао;D;25/03/11;000000;222.81;55020360
ГАЗПРОМ ао;D;28/03/11;000000;225.5;54293340
ГАЗПРОМ ао;D;29/03/11;000000;224.01;59901440
ГАЗПРОМ ао;D;30/03/11;000000;229.32;79970280
