<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
ЛУКОЙЛ;D;11/01/10;000000;1750.98;2149066
ЛУКОЙЛ;D;12/01/10;000000;1719.82;1927569
ЛУКОЙЛ;D;13/01/10;000000;1709.44;1779730
ЛУКОЙЛ;D;14/01/10;000000;1726.8;1998774
ЛУКОЙЛ;D;15/01/10;000000;1731.95;2007651
ЛУКОЙЛ;D;18/01/10;000000;1745;1480561
ЛУКОЙЛ;D;19/01/10;000000;1749;1724153
ЛУКОЙЛ;D;20/01/10;000000;1726.9;2882814
ЛУКОЙЛ;D;21/01/10;000000;1699.98;2664910
ЛУКОЙЛ;D;22/01/10;000000;1675.99;2837422
ЛУКОЙЛ;D;25/01/10;000000;1675;2318422
ЛУКОЙЛ;D;26/01/10;000000;1631.37;2380982
ЛУКОЙЛ;D;27/01/10;000000;1638.96;2826151
ЛУКОЙЛ;D;28/01/10;000000;1656.1;2359242
ЛУКОЙЛ;D;29/01/10;000000;1686.73;2166497
ЛУКОЙЛ;D;01/02/10;000000;1685.3;1639266
ЛУКОЙЛ;D;02/02/10;000000;1711;2033955
ЛУКОЙЛ;D;03/02/10;000000;1694.88;2425432
ЛУКОЙЛ;D;04/02/10;000000;1661.06;2150472
ЛУКОЙЛ;D;05/02/10;000000;1617.04;3108495
ЛУКОЙЛ;D;08/02/10;000000;1580.06;2856928
ЛУКОЙЛ;D;09/02/10;000000;1594.29;2503579
ЛУКОЙЛ;D;10/02/10;000000;1563.04;2255697
ЛУКОЙЛ;D;11/02/10;000000;1554;2147734
ЛУКОЙЛ;D;12/02/10;000000;1517;2336844
ЛУКОЙЛ;D;15/02/10;000000;1547.55;1272249
ЛУКОЙЛ;D;16/02/10;000000;1583.75;2120024
ЛУКОЙЛ;D;17/02/10;000000;1566.01;1712848
ЛУКОЙЛ;D;18/02/10;000000;1563.09;2350312
ЛУКОЙЛ;D;19/02/10;000000;1589.88;2213068
ЛУКОЙЛ;D;24/02/10;000000;1566.83;1445635
ЛУКОЙЛ;D;25/02/10;000000;1548.88;1427884
ЛУКОЙЛ;D;26/02/10;000000;1579.85;1710068
ЛУКОЙЛ;D;27/02/10;000000;1574;466568
ЛУКОЙЛ;D;01/03/10;000000;1602.37;2221187
ЛУКОЙЛ;D;02/03/10;000000;1622.5;2126069
ЛУКОЙЛ;D;03/03/10;000000;1624.16;2232956
ЛУКОЙЛ;D;04/03/10;000000;1626;2110955
ЛУКОЙЛ;D;05/03/10;000000;1641.86;2014108
ЛУКОЙЛ;D;09/03/10;000000;1603;2678156
