<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
ГМКНорНик;D;11/01/10;000000;4695.4;1040792
ГМКНорНик;D;12/01/10;000000;4640.06;755730
ГМКНорНик;D;13/01/10;000000;4654.14;780141
ГМКНорНик;D;14/01/10;000000;4892.94;1403216
ГМКНорНик;D;15/01/10;000000;4884.62;821837
ГМКНорНик;D;18/01/10;000000;5027;977258
ГМКНорНик;D;19/01/10;000000;5040;1003547
ГМКНорНик;D;20/01/10;000000;4945;961456
ГМКНорНик;D;21/01/10;000000;4902.94;918468
ГМКНорНик;D;22/01/10;000000;4809.15;1061788
ГМКНорНик;D;25/01/10;000000;4720;895889
ГМКНорНик;D;26/01/10;000000;4589.96;1010088
ГМКНорНик;D;27/01/10;000000;4622.96;1237184
ГМКНорНик;D;28/01/10;000000;4722;952415
ГМКНорНик;D;29/01/10;000000;4711.33;914246
ГМКНорНик;D;01/02/10;000000;4674.9;572955
ГМКНорНик;D;02/02/10;000000;4780;839857
ГМКНорНик;D;03/02/10;000000;4729.38;1021768
ГМКНорНик;D;04/02/10;000000;4587.94;966562
ГМКНорНик;D;05/02/10;000000;4484.99;1316774
ГМКНорНик;D;08/02/10;000000;4500;913654
ГМКНорНик;D;09/02/10;000000;4575.09;897389
ГМКНорНик;D;10/02/10;000000;4472;970349
ГМКНорНик;D;11/02/10;000000;4431.33;672279
ГМКНорНик;D;12/02/10;000000;4411;1092429
ГМКНорНик;D;15/02/10;000000;4490;466183
ГМКНорНик;D;16/02/10;000000;4633.06;688992
ГМКНорНик;D;17/02/10;000000;4592;779685
ГМКНорНик;D;18/02/10;000000;4620;728850
ГМКНорНик;D;19/02/10;000000;4710;802364
ГМКНорНик;D;24/02/10;000000;4536;863949
ГМКНорНик;D;25/02/10;000000;4438.05;750321
ГМКНорНик;D;26/02/10;000000;4525;706395
ГМКНорНик;D;27/02/10;000000;4590;224867
ГМКНорНик;D;01/03/10;000000;4721.4;1078394
ГМКНорНик;D;02/03/10;000000;4717;759132
ГМКНорНик;D;03/03/10;000000;4806.41;932238
ГМКНорНик;D;04/03/10;000000;4852.15;914809
ГМКНорНик;D;05/03/10;000000;4933;727895
ГМКНорНик;D;09/03/10;000000;4860;619575
ГМКНорНик;D;10/03/10;000000;4894.88;890520
ГМКНорНик;D;11/03/10;000000;4870;591976
ГМКНорНик;D;12/03/10;000000;4960;743413
ГМКНорНик;D;15/03/10;000000;4895;482264
ГМКНорНик;D;16/03/10;000000;4975;611496
ГМКНорНик;D;17/03/10;000000;5067.01;1094883
ГМКНорНик;D;18/03/10;000000;4982.91;663617
ГМКНорНик;D;19/03/10;000000;4987.75;688180
ГМКНорНик;D;22/03/10;000000;4927.2;629396
ГМКНорНик;D;23/03/10;000000;4983.94;740578
ГМКНорНик;D;24/03/10;000000;4931;562569
ГМКНорНик;D;25/03/10;000000;5040;743995
ГМКНорНик;D;26/03/10;000000;5154;935852
ГМКНорНик;D;29/03/10;000000;5387;1202048
ГМКНорНик;D;30/03/10;000000;5390;1034300
ГМКНорНик;D;31/03/10;000000;5430;865420
ГМКНорНик;D;01/04/10;000000;5639.88;1212040
ГМКНорНик;D;02/04/10;000000;5628.3;661548
ГМКНорНик;D;05/04/10;000000;5600.58;392624
ГМКНорНик;D;06/04/10;000000;5545;680462
ГМКНорНик;D;07/04/10;000000;5410;740800
ГМКНорНик;D;08/04/10;000000;5453;851614
ГМКНорНик;D;09/04/10;000000;5541;643935
ГМКНорНик;D;12/04/10;000000;5614.84;848055
ГМКНорНик;D;13/04/10;000000;5638.9;659932
ГМКНорНик;D;14/04/10;000000;5760;884305
ГМКНорНик;D;15/04/10;000000;5811.41;944202
ГМКНорНик;D;16/04/10;000000;5641.83;828814
ГМКНорНик;D;19/04/10;000000;5529;1023849
ГМКНорНик;D;20/04/10;000000;5609;682255
ГМКНорНик;D;21/04/10;000000;5489.79;641978
ГМКНорНик;D;22/04/10;000000;5360.05;1001829
ГМКНорНик;D;23/04/10;000000;5592;1188293
ГМКНорНик;D;26/04/10;000000;5670;716272
ГМКНорНик;D;27/04/10;000000;5602.01;670256
ГМКНорНик;D;28/04/10;000000;5452;988059
ГМКНорНик;D;29/04/10;000000;5727;1202918
ГМКНорНик;D;30/04/10;000000;5652.9;1027008
ГМКНорНик;D;04/05/10;000000;5305.08;1286239
ГМКНорНик;D;05/05/10;000000;5075;2092359
ГМКНорНик;D;06/05/10;000000;5004;1416917
ГМКНорНик;D;07/05/10;000000;4624.94;1328740
ГМКНорНик;D;11/05/10;000000;4829.6;1541754
ГМКНорНик;D;12/05/10;000000;5034.93;1815853
ГМКНорНик;D;13/05/10;000000;5058.64;1242522
ГМКНорНик;D;14/05/10;000000;4975;1381260
ГМКНорНик;D;17/05/10;000000;5186.82;1949501
ГМКНорНик;D;18/05/10;000000;5136.91;1373000
ГМКНорНик;D;19/05/10;000000;5050;1273156
ГМКНорНик;D;20/05/10;000000;4895.48;1642150
ГМКНорНик;D;21/05/10;000000;4980;1264714
ГМКНорНик;D;24/05/10;000000;4830.08;1019071
ГМКНорНик;D;25/05/10;000000;4686.15;1251662
ГМКНорНик;D;26/05/10;000000;4694.97;1264909
ГМКНорНик;D;27/05/10;000000;4917.84;1581455
ГМКНорНик;D;28/05/10;000000;5033.93;1126023
ГМКНорНик;D;31/05/10;000000;5018.89;573460
ГМКНорНик;D;01/06/10;000000;5161.02;1166327
ГМКНорНик;D;02/06/10;000000;5168;1145615
ГМКНорНик;D;03/06/10;000000;5060;1331775
ГМКНорНик;D;04/06/10;000000;4921;1075687
ГМКНорНик;D;07/06/10;000000;4867.86;912311
ГМКНорНик;D;08/06/10;000000;4812.78;949462
ГМКНорНик;D;09/06/10;000000;4915;852850
ГМКНорНик;D;10/06/10;000000;5018.1;884163
ГМКНорНик;D;11/06/10;000000;5003;671601
ГМКНорНик;D;15/06/10;000000;5123.98;663381
ГМКНорНик;D;16/06/10;000000;5086;757540
ГМКНорНик;D;17/06/10;000000;4940;801606
ГМКНорНик;D;18/06/10;000000;4910.13;584690
ГМКНорНик;D;21/06/10;000000;5095;752929
ГМКНорНик;D;22/06/10;000000;4989;679234
ГМКНорНик;D;23/06/10;000000;4940.6;546979
ГМКНорНик;D;24/06/10;000000;4890.01;621167
ГМКНорНик;D;25/06/10;000000;4800.04;515573
ГМКНорНик;D;28/06/10;000000;4876.57;481520
ГМКНорНик;D;29/06/10;000000;4720;638907
ГМКНорНик;D;30/06/10;000000;4495;987148
ГМКНорНик;D;01/07/10;000000;4368.85;1059772
ГМКНорНик;D;02/07/10;000000;4505;823539
ГМКНорНик;D;05/07/10;000000;4618;761826
ГМКНорНик;D;06/07/10;000000;4739.9;689677
ГМКНорНик;D;07/07/10;000000;4785.62;920112
ГМКНорНик;D;08/07/10;000000;4758.26;761910
ГМКНорНик;D;09/07/10;000000;4815;587220
ГМКНорНик;D;12/07/10;000000;4914.09;874598
ГМКНорНик;D;13/07/10;000000;4949.79;819785
ГМКНорНик;D;14/07/10;000000;4917;595214
ГМКНорНик;D;15/07/10;000000;4840.22;653308
ГМКНорНик;D;16/07/10;000000;4815;650941
ГМКНорНик;D;19/07/10;000000;4852;571047
ГМКНорНик;D;20/07/10;000000;4829.31;598015
ГМКНорНик;D;21/07/10;000000;4893;789014
ГМКНорНик;D;22/07/10;000000;5005;1021541
ГМКНорНик;D;23/07/10;000000;5073;1048039
ГМКНорНик;D;26/07/10;000000;5110;1114747
ГМКНорНик;D;27/07/10;000000;5052;884814
ГМКНорНик;D;28/07/10;000000;4989.94;723929
ГМКНорНик;D;29/07/10;000000;5074.48;512085
ГМКНорНик;D;30/07/10;000000;4970;807784
ГМКНорНик;D;02/08/10;000000;5120;599743
ГМКНорНик;D;03/08/10;000000;5039.99;601608
ГМКНорНик;D;04/08/10;000000;5069;600308
ГМКНорНик;D;05/08/10;000000;5100;496996
ГМКНорНик;D;06/08/10;000000;5025;541797
ГМКНорНик;D;09/08/10;000000;5183.01;967741
ГМКНорНик;D;10/08/10;000000;5154.08;751944
ГМКНорНик;D;11/08/10;000000;5048.94;690512
ГМКНорНик;D;12/08/10;000000;4990;802120
ГМКНорНик;D;13/08/10;000000;5010;588429
ГМКНорНик;D;16/08/10;000000;5085;676604
ГМКНорНик;D;17/08/10;000000;5202;820342
ГМКНорНик;D;18/08/10;000000;5228;617432
ГМКНорНик;D;19/08/10;000000;5155;736211
ГМКНорНик;D;20/08/10;000000;5170;509963
ГМКНорНик;D;23/08/10;000000;5184.91;445589
ГМКНорНик;D;24/08/10;000000;5067;545575
ГМКНорНик;D;25/08/10;000000;5018;511638
ГМКНорНик;D;26/08/10;000000;5123.99;520614
ГМКНорНик;D;27/08/10;000000;5198;587036
ГМКНорНик;D;30/08/10;000000;5276.45;522537
ГМКНорНик;D;31/08/10;000000;5190;664023
ГМКНорНик;D;01/09/10;000000;5305.13;557802
ГМКНорНик;D;02/09/10;000000;5231.25;547358
ГМКНорНик;D;03/09/10;000000;5268;475850
ГМКНорНик;D;06/09/10;000000;5225;309734
ГМКНорНик;D;07/09/10;000000;5177.7;507226
ГМКНорНик;D;08/09/10;000000;5263.99;770526
ГМКНорНик;D;09/09/10;000000;5233.13;615210
ГМКНорНик;D;10/09/10;000000;5208.88;749123
ГМКНорНик;D;13/09/10;000000;5211.98;414211
ГМКНорНик;D;14/09/10;000000;5080;823917
ГМКНорНик;D;15/09/10;000000;4976.69;1290568
ГМКНорНик;D;16/09/10;000000;5008.87;568449
ГМКНорНик;D;17/09/10;000000;4945;440636
ГМКНорНик;D;20/09/10;000000;4934;440471
ГМКНорНик;D;21/09/10;000000;4969.5;513170
ГМКНорНик;D;22/09/10;000000;4982.8;612921
ГМКНорНик;D;23/09/10;000000;5012;761604
ГМКНорНик;D;24/09/10;000000;5057.95;529054
ГМКНорНик;D;27/09/10;000000;5031.9;477289
ГМКНорНик;D;28/09/10;000000;5004.86;505365
ГМКНорНик;D;29/09/10;000000;5125;829713
ГМКНорНик;D;30/09/10;000000;5196.04;662184
ГМКНорНик;D;01/10/10;000000;5254.7;776136
ГМКНорНик;D;04/10/10;000000;5315;716388
ГМКНорНик;D;05/10/10;000000;5294.82;720130
ГМКНорНик;D;06/10/10;000000;5338;878669
ГМКНорНик;D;07/10/10;000000;5353.5;598026
ГМКНорНик;D;08/10/10;000000;5304.9;685690
ГМКНорНик;D;11/10/10;000000;5369.95;471522
ГМКНорНик;D;12/10/10;000000;5388.65;487760
ГМКНорНик;D;13/10/10;000000;5400;601302
ГМКНорНик;D;14/10/10;000000;5432.95;693206
ГМКНорНик;D;15/10/10;000000;5492;870901
ГМКНорНик;D;18/10/10;000000;5516;354951
ГМКНорНик;D;19/10/10;000000;5425.01;567146
ГМКНорНик;D;20/10/10;000000;5476.96;436079
ГМКНорНик;D;21/10/10;000000;5550.08;535180
ГМКНорНик;D;22/10/10;000000;5455.23;1105105
ГМКНорНик;D;25/10/10;000000;5609;968646
ГМКНорНик;D;26/10/10;000000;5575;560750
ГМКНорНик;D;27/10/10;000000;5512;429229
ГМКНорНик;D;28/10/10;000000;5573.67;491095
ГМКНорНик;D;29/10/10;000000;5584.3;406554
ГМКНорНик;D;01/11/10;000000;5612.97;452882
ГМКНорНик;D;02/11/10;000000;5640;307691
ГМКНорНик;D;03/11/10;000000;5604.95;546071
ГМКНорНик;D;08/11/10;000000;5870.03;838444
ГМКНорНик;D;09/11/10;000000;6080;1045548
ГМКНорНик;D;10/11/10;000000;6020;691742
ГМКНорНик;D;11/11/10;000000;5916.97;950757
ГМКНорНик;D;12/11/10;000000;5906.29;663421
ГМКНорНик;D;13/11/10;000000;5860;200179
ГМКНорНик;D;15/11/10;000000;5919.95;609565
ГМКНорНик;D;16/11/10;000000;5751;610930
ГМКНорНик;D;17/11/10;000000;5791;880757
ГМКНорНик;D;18/11/10;000000;5841;465834
ГМКНорНик;D;19/11/10;000000;5926.04;651648
ГМКНорНик;D;22/11/10;000000;5909.95;550723
ГМКНорНик;D;23/11/10;000000;5865.05;552760
ГМКНорНик;D;24/11/10;000000;6044;790503
ГМКНорНик;D;25/11/10;000000;6140.08;1246220
ГМКНорНик;D;26/11/10;000000;6045;820323
ГМКНорНик;D;29/11/10;000000;5973;548808
ГМКНорНик;D;30/11/10;000000;6053.03;625877
ГМКНорНик;D;01/12/10;000000;6161;658239
ГМКНорНик;D;02/12/10;000000;6450;1134527
ГМКНорНик;D;03/12/10;000000;6670;1511210
ГМКНорНик;D;06/12/10;000000;6655.27;722315
ГМКНорНик;D;07/12/10;000000;6610;875818
ГМКНорНик;D;08/12/10;000000;6479;817075
ГМКНорНик;D;09/12/10;000000;6566.5;568439
ГМКНорНик;D;10/12/10;000000;6698.88;742244
ГМКНорНик;D;13/12/10;000000;6618;875490
ГМКНорНик;D;14/12/10;000000;6725;1077113
ГМКНорНик;D;15/12/10;000000;6790;1253705
ГМКНорНик;D;16/12/10;000000;6700;1230320
ГМКНорНик;D;17/12/10;000000;6698;567344
ГМКНорНик;D;20/12/10;000000;6678;474992
ГМКНорНик;D;21/12/10;000000;6695.5;490127
ГМКНорНик;D;22/12/10;000000;6780;433378
ГМКНорНик;D;23/12/10;000000;6824;390585
ГМКНорНик;D;24/12/10;000000;6812;355126
ГМКНорНик;D;27/12/10;000000;6755.19;177236
ГМКНорНик;D;28/12/10;000000;6800;227566
ГМКНорНик;D;29/12/10;000000;7195;1081134
ГМКНорНик;D;30/12/10;000000;7165;498063
ГМКНорНик;D;11/01/11;000000;7287;681898
ГМКНорНик;D;12/01/11;000000;7498.99;1546836
ГМКНорНик;D;13/01/11;000000;7395;548864
ГМКНорНик;D;14/01/11;000000;7400;621390
ГМКНорНик;D;17/01/11;000000;7462.84;472898
ГМКНорНик;D;18/01/11;000000;7490.12;378663
ГМКНорНик;D;19/01/11;000000;7464;308826
ГМКНорНик;D;20/01/11;000000;7421;497118
ГМКНорНик;D;21/01/11;000000;7500;576728
ГМКНорНик;D;24/01/11;000000;7540;463774
ГМКНорНик;D;25/01/11;000000;7502;433331
ГМКНорНик;D;26/01/11;000000;7515.19;407507
ГМКНорНик;D;27/01/11;000000;7602;957715
ГМКНорНик;D;28/01/11;000000;7700;406190
ГМКНорНик;D;31/01/11;000000;7470;771676
ГМКНорНик;D;01/02/11;000000;7513;363698
ГМКНорНик;D;02/02/11;000000;7590;499736
ГМКНорНик;D;03/02/11;000000;7474;358104
ГМКНорНик;D;04/02/11;000000;7441;438357
ГМКНорНик;D;07/02/11;000000;7371;592255
ГМКНорНик;D;08/02/11;000000;7231;537549
ГМКНорНик;D;09/02/11;000000;7052;428320
ГМКНорНик;D;10/02/11;000000;6839.98;698041
ГМКНорНик;D;11/02/11;000000;7148.27;994261
ГМКНорНик;D;14/02/11;000000;7110;498590
ГМКНорНик;D;15/02/11;000000;7065;386185
ГМКНорНик;D;16/02/11;000000;6965;442011
ГМКНорНик;D;17/02/11;000000;6817;466514
ГМКНорНик;D;18/02/11;000000;6701.14;370229
ГМКНорНик;D;21/02/11;000000;6815;594874
ГМКНорНик;D;22/02/11;000000;6785.47;506853
ГМКНорНик;D;24/02/11;000000;6579.96;679933
ГМКНорНик;D;25/02/11;000000;6857.76;669698
ГМКНорНик;D;28/02/11;000000;6993;718892
ГМКНорНик;D;01/03/11;000000;7021;793224
ГМКНорНик;D;02/03/11;000000;7135;607049
ГМКНорНик;D;03/03/11;000000;7101;434824
ГМКНорНик;D;04/03/11;000000;7130;563233
ГМКНорНик;D;05/03/11;000000;7198;147267
ГМКНорНик;D;09/03/11;000000;7116;532362
ГМКНорНик;D;10/03/11;000000;6880;741178
ГМКНорНик;D;11/03/11;000000;6766;639144
ГМКНорНик;D;14/03/11;000000;6936;685427
ГМКНорНик;D;15/03/11;000000;7016;1352796
ГМКНорНик;D;16/03/11;000000;6995;664713
ГМКНорНик;D;17/03/11;000000;7165;577155
ГМКНорНик;D;18/03/11;000000;7140;438426
ГМКНорНик;D;21/03/11;000000;7200;288904
ГМКНорНик;D;22/03/11;000000;7105;491774
ГМКНорНик;D;23/03/11;000000;7235;597901
ГМКНорНик;D;24/03/11;000000;7291;761144
ГМКНорНик;D;25/03/11;000000;7495;957023
ГМКНорНик;D;28/03/11;000000;7555;356025
ГМКНорНик;D;29/03/11;000000;7432;672381
ГМКНорНик;D;30/03/11;000000;7514;447168
ГМКНорНик;D;31/03/11;000000;7463;464657
ГМКНорНик;D;01/04/11;000000;7671;765765
ГМКНорНик;D;04/04/11;000000;7818;860597
ГМКНорНик;D;05/04/11;000000;7731;893929
ГМКНорНик;D;06/04/11;000000;7751;526507
ГМКНорНик;D;07/04/11;000000;7649;469593
ГМКНорНик;D;08/04/11;000000;7609;479358
ГМКНорНик;D;11/04/11;000000;7615;313484
ГМКНорНик;D;12/04/11;000000;7560;633177
ГМКНорНик;D;13/04/11;000000;7772;711249
ГМКНорНик;D;14/04/11;000000;7668;534255
ГМКНорНик;D;15/04/11;000000;7705;812394
ГМКНорНик;D;18/04/11;000000;7360;939496
ГМКНорНик;D;19/04/11;000000;7474;685882
