<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
Сбербанк;D;11/01/10;000000;86.69;149200144
Сбербанк;D;12/01/10;000000;85;130321911
Сбербанк;D;13/01/10;000000;86.61;128818253
Сбербанк;D;14/01/10;000000;87.55;111469807
Сбербанк;D;15/01/10;000000;88.15;142265882
Сбербанк;D;18/01/10;000000;90.49;179564888
Сбербанк;D;19/01/10;000000;92.02;269046039
Сбербанк;D;20/01/10;000000;90.62;220504796
Сбербанк;D;21/01/10;000000;89.18;219515040
Сбербанк;D;22/01/10;000000;86.5;221523568
Сбербанк;D;25/01/10;000000;88.07;175218687
Сбербанк;D;26/01/10;000000;85.84;196525690
Сбербанк;D;27/01/10;000000;86.64;207671907
Сбербанк;D;28/01/10;000000;87.15;173424564
Сбербанк;D;29/01/10;000000;88.41;188062134
Сбербанк;D;01/02/10;000000;87.69;146486262
Сбербанк;D;02/02/10;000000;88.05;129362901
Сбербанк;D;03/02/10;000000;88.08;188637261
Сбербанк;D;04/02/10;000000;84.77;192844303
Сбербанк;D;05/02/10;000000;83.09;275776811
Сбербанк;D;08/02/10;000000;79.01;250340447
Сбербанк;D;09/02/10;000000;80.35;318201013
Сбербанк;D;10/02/10;000000;81.49;280432428
Сбербанк;D;11/02/10;000000;82.67;277499389
Сбербанк;D;12/02/10;000000;80;207194388
Сбербанк;D;15/02/10;000000;80.38;114992349
Сбербанк;D;16/02/10;000000;83.25;169174695
Сбербанк;D;17/02/10;000000;82.47;168523860
Сбербанк;D;18/02/10;000000;79.89;255258078
Сбербанк;D;19/02/10;000000;79.17;286719443
Сбербанк;D;24/02/10;000000;75.99;230695318
Сбербанк;D;25/02/10;000000;74.88;262746851
Сбербанк;D;26/02/10;000000;75.15;201490162
Сбербанк;D;27/02/10;000000;76.3;59845665
Сбербанк;D;01/03/10;000000;80.26;300972082
Сбербанк;D;02/03/10;000000;82.44;290057418
Сбербанк;D;03/03/10;000000;82.92;251615541
Сбербанк;D;04/03/10;000000;82.95;236686746
Сбербанк;D;05/03/10;000000;87.2;291550420
Сбербанк;D;09/03/10;000000;89.41;298271693
Сбербанк;D;10/03/10;000000;87.14;243810254
Сбербанк;D;11/03/10;000000;87.41;213175264
Сбербанк;D;12/03/10;000000;89.1;205725200
Сбербанк;D;15/03/10;000000;87.82;186027743
Сбербанк;D;16/03/10;000000;89;184063882
Сбербанк;D;17/03/10;000000;89.35;161570883
Сбербанк;D;18/03/10;000000;89.7;277669266
Сбербанк;D;19/03/10;000000;88.04;186484206
Сбербанк;D;22/03/10;000000;86.34;173926805
Сбербанк;D;23/03/10;000000;86.03;186714211
Сбербанк;D;24/03/10;000000;86.95;225839510
Сбербанк;D;25/03/10;000000;86;181014651
Сбербанк;D;26/03/10;000000;84.6;152019864
Сбербанк;D;29/03/10;000000;85.46;147433740
Сбербанк;D;30/03/10;000000;85.1;160289490
Сбербанк;D;31/03/10;000000;85.8;203809645
Сбербанк;D;01/04/10;000000;87.83;156008440
Сбербанк;D;02/04/10;000000;88.18;101247584
Сбербанк;D;05/04/10;000000;88.6;99143883
Сбербанк;D;06/04/10;000000;88.6;142852789
Сбербанк;D;07/04/10;000000;86.3;147531158
Сбербанк;D;08/04/10;000000;84.94;147205350
Сбербанк;D;09/04/10;000000;86.88;149715742
Сбербанк;D;12/04/10;000000;86.54;112468368
Сбербанк;D;13/04/10;000000;87.2;163912792
Сбербанк;D;14/04/10;000000;89.2;152991399
Сбербанк;D;15/04/10;000000;89.3;121739284
Сбербанк;D;16/04/10;000000;86.99;118487026
Сбербанк;D;19/04/10;000000;85.2;180407293
Сбербанк;D;20/04/10;000000;86.7;143492723
Сбербанк;D;21/04/10;000000;85.5;146115041
Сбербанк;D;22/04/10;000000;84.45;189919899
Сбербанк;D;23/04/10;000000;84.42;173003547
Сбербанк;D;26/04/10;000000;84.81;133099137
Сбербанк;D;27/04/10;000000;82.93;148874206
Сбербанк;D;28/04/10;000000;79.53;244241044
Сбербанк;D;29/04/10;000000;80.95;155142025
Сбербанк;D;30/04/10;000000;78.6;152192205
Сбербанк;D;04/05/10;000000;75.85;223927170
Сбербанк;D;05/05/10;000000;75.17;280073484
Сбербанк;D;06/05/10;000000;73.85;289184874
Сбербанк;D;07/05/10;000000;70.35;377532396
Сбербанк;D;11/05/10;000000;75;303731251
Сбербанк;D;12/05/10;000000;81.93;375233259
Сбербанк;D;13/05/10;000000;80.8;396010049
Сбербанк;D;14/05/10;000000;77.43;234935445
Сбербанк;D;17/05/10;000000;76.01;323350490
Сбербанк;D;18/05/10;000000;77.12;301447324
Сбербанк;D;19/05/10;000000;73.68;263484767
Сбербанк;D;20/05/10;000000;69.9;378569560
Сбербанк;D;21/05/10;000000;69.3;449006684
Сбербанк;D;24/05/10;000000;69.96;287984237
Сбербанк;D;25/05/10;000000;64.33;314268013
Сбербанк;D;26/05/10;000000;69.12;517825652
Сбербанк;D;27/05/10;000000;70.65;412221134
Сбербанк;D;28/05/10;000000;70.2;271758032
Сбербанк;D;31/05/10;000000;71;111332736
Сбербанк;D;01/06/10;000000;70.7;249071732
Сбербанк;D;02/06/10;000000;70.95;310762682
Сбербанк;D;03/06/10;000000;72.01;225153654
Сбербанк;D;04/06/10;000000;70.25;305285507
